"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Mês";"Variável x Geral, grupo, subgrupo, item e subitem"
"Mês";"Brasil"
"Mês";"IPCA - Variação mensal (%)"
"Mês";"Índice geral";"1.Alimentação e bebidas";"2.Habitação";"3.Artigos de residência";"4.Vestuário";"5.Transportes";"6.Saúde e cuidados pessoais";"7.Despesas pessoais";"8.Educação";"9.Comunicação"
"janeiro 2024";"0,42";"1,38";"0,25";"0,22";"0,14";"-0,65";"0,83";"0,82";"0,33";"-0,08"
"fevereiro 2024";"0,83";"0,95";"0,27";"-0,07";"-0,44";"0,72";"0,65";"0,05";"4,98";"1,56"
"março 2024";"0,16";"0,53";"0,19";"-0,04";"0,03";"-0,33";"0,43";"0,33";"0,14";"-0,13"
"abril 2024";"0,38";"0,70";"-0,01";"-0,26";"0,55";"0,14";"1,16";"0,10";"0,05";"0,48"
"maio 2024";"0,46";"0,62";"0,67";"-0,53";"0,50";"0,44";"0,69";"0,22";"0,09";"0,14"
"junho 2024";"0,21";"0,44";"0,25";"0,19";"0,02";"-0,19";"0,54";"0,29";"0,06";"-0,08"
"julho 2024";"0,38";"-1,00";"0,77";"0,48";"-0,02";"1,82";"0,22";"0,52";"0,08";"0,18"
"agosto 2024";"-0,02";"-0,44";"-0,51";"0,74";"0,39";"0,00";"0,25";"0,25";"0,73";"0,10"
"setembro 2024";"0,44";"0,50";"1,80";"-0,19";"0,18";"0,14";"0,46";"-0,31";"0,05";"-0,05"
"outubro 2024";"0,56";"1,06";"1,49";"0,43";"0,37";"-0,38";"0,38";"0,70";"0,04";"0,52"
"novembro 2024";"0,39";"1,55";"-1,53";"-0,31";"-0,12";"0,89";"-0,06";"1,43";"-0,04";"-0,10"
"dezembro 2024";"0,52";"1,18";"-0,56";"0,65";"1,14";"0,67";"0,38";"0,62";"0,11";"0,37"
"janeiro 2025";"0,16";"0,96";"-3,08";"-0,09";"-0,14";"1,30";"0,70";"0,51";"0,26";"-0,17"
"fevereiro 2025";"1,31";"0,70";"4,44";"0,44";"0,00";"0,61";"0,49";"0,13";"4,70";"0,17"
